Timestamp,Event,Seq_Num,Message
1733251773.648895,Packet Received,0,
1733251773.64898,Connection Established,0,
1733251773.6490185,Packet Processed,0,
1733251773.6490955,ACK Sent,1,
1733251775.450429,Packet Received,1,test
1733251775.4505186,Packet Processed,1,test
1733251775.4505885,ACK Sent,2,
1733251776.0840082,Packet Received,2,test
1733251776.0840945,Packet Processed,2,test
1733251776.0841627,ACK Sent,3,
1733251776.78688,Packet Received,3,test
1733251776.7869678,Packet Processed,3,test
1733251776.7870247,ACK Sent,4,
1733251777.6560102,Packet Received,4,test
1733251777.6560986,Packet Processed,4,test
1733251777.6561692,ACK Sent,5,
